gene_id	colors
Hat1	brown
Pdk1	blue
Map3k20	blue
Cdca7	turquoise
Ola1	green
Scrn3	lightgreen
Gpr155	blue
Chrna1	cyan
Mtx2	red
Gm39853	brown
Hnrnpa3	green
Ttc30b	purple
Osbpl6	blue
Fkbp7	turquoise
Ttn	cyan
Ccdc141	lightgreen
Gm39862	blue
Zfp385b	lightgreen
Cwc22	green
Gm37004	black
Itga4	grey60
Pde1a	tan
Fam171b	grey60
Calcrl	blue
Ctnnd1	purple
Selenoh	turquoise
Med19	brown
Zdhhc5	red
Serping1	brown
Ube2l6	grey60
Smtnl1	cyan
Timm10	green
Rtn4rl2	red
Slc43a3	grey60
Tnks1bp1	black
Aplnr	salmon
Fads2b	cyan
Olfr1033	brown
Ptprj	greenyellow
Fnbp4	grey60
Mtch2	green
Psmc3	green
Spi1	grey60
Mybpc3	tan
Nr1h3	grey60
Acp2	brown
A330069E16Rik	red
Pacsin3	cyan
Lrp4	lightgreen
F2	black
Mdk	blue
Dgkz	lightgreen
Creb3l1	green
Large2	purple
Mapk8ip1	blue
Cry2	lightgreen
Chst1	lightgreen
Gm13816	lightgreen
Prdm11	black
4631405J19Rik	green
Trp53i11	grey60
Tspan18	blue
Cd82	grey60
Gm13889	brown
Hsd17b12	green
Lrrc4c	lightgreen
Iftap	turquoise
Prr5l	salmon
Ldlrad3	lightgreen
Gm39888	lightgreen
Fjx1	brown
Pamr1	lightgreen
Slc1a2	salmon
LOC115489466	grey60
Cd44	grey60
Elf5	blue
Cat	lightgreen
Abtb2	grey60
8030431J09Rik	grey60
Nat10	green
Lmo2	salmon
Cd59a	blue
D430041D05Rik	turquoise
Wt1	grey60
Dcdc5	blue
Gm36036	blue
Mpped2	lightgreen
Kif18a	tan
Bdnf	grey60
Lin7c	turquoise
Ccdc34	tan
Fibin	lightgreen
Slc5a12	lightgreen
Muc15	cyan
Nop10	lightgreen
Slc12a6	blue
Ryr3	blue
Fmn1	green
Grem1	green
Arhgap11a	tan
Actc1	salmon
C130080G10Rik	lightgreen
BC052040	turquoise
Meis2	turquoise
Rasgrp1	midnightblue
Thbs1	brown
Gpr176	brown
Bmf	lightgreen
Bub1b	tan
Pak6	green
Ankrd63	lightgreen
Plcb2	blue
Inafm2	purple
Ccdc9b	green
Phgr1	green
Disp2	brown
Knstrn	tan
Ivd	lightgreen
Knl1	tan
Rad51	tan
Rmdn3	grey60
Gchfr	blue
Dnajc17	tan
Gm14137	grey60
Ppp1r14d	grey60
Rhov	brown
Gm14207	blue
Dll4	blue
Chac1	grey60
Ino80	grey60
Oip5	tan
Nusap1	tan
Tyro3	lightgreen
Ehd4	salmon
Pla2g4e	cyan
Pla2g4d	cyan
Pla2g4f	cyan
Tmem87a	grey60
Ganc	blue
Capn3	cyan
Lrrc57	purple
Stard9	blue
Epb42	lightgreen
Tgm5	cyan
Map1a	green
Ckmt1	brown
Pdia3	grey60
Wdr76	tan
Golm2	blue
Eif3j1	green
B2m	grey60
Trim69	grey60
Sord	lightgreen
Duox2	grey60
Duoxa2	grey60
Duoxa1	cyan
Duox1	cyan
n-THgtg5	grey60
Slc28a2	grey60
Bambi-ps1	grey60
Dut	tan
Fbn1	green
Cep152	tan
Secisbp2l	blue
Atp8b4	yellow
Hdc	grey60
A630026N12Rik	lightgreen
Sppl2a	grey60
Blvra	green
Ncaph	tan
Dusp2	grey60
Prom2	cyan
Mal	turquoise
Mall	cyan
Nphp1	tan
Mtln	purple
Bub1	tan
Acoxl	lightgreen
Bcl2l11	salmon
Morrbid	brown
Gm14010	grey60
Mertk	grey60
Zc3h6	green
Ttl	blue
Slc20a1	green
Ckap2l	tan
Il1a	grey60
Il1b	grey60
Sirpa	brown
Tgm3	cyan
Nop56	green
Cpxm1	tan
Slc4a11	grey60
Atrn	blue
Gm30286	black
Adam33	lightgreen
Siglec1	brown
Cdc25b	blue
Smox	grey60
Gm30732	brown
Prnp	grey60
Rassf2	brown
Slc23a2	lightgreen
Gm14051	blue
Pcna	brown
AU019990	grey60
Trmt6	green
Lrrn4	black
Fermt1	grey60
Bmp2	grey60
Plcb1	blue
Gm39941	blue
Plcb4	black
Jag1	turquoise
Btbd3	blue
Sptlc3	cyan
Ism1	green
Esf1	green
Flrt3	brown
Pcsk2	grey60
Rrbp1	brown
Snx5	tan
Dzank1	blue
Rbbp9	blue
Sec23b	brown
Smim26	purple
Dtd1	blue
Slc24a3	blue
BC039771	blue
Rin2	grey60
Naa20	grey60
Xrn2	grey60
9030622O22Rik	blue
Gm39957	black
Thbd	lightgreen
Cd93	brown
Gzf1	blue
Cst8	lightgreen
Cstdc2	lightgreen
Cst3	lightgreen
Cst7	grey60
Acss1	lightgreen
Gins1	brown
Gm14167	green
Fkbp1a	brown
Sdcbp2	brown
Snph	blue
Rspo4	blue
Srxn1	green
Trib3	brown
Sox12	turquoise
Rem1	blue
Id1	purple
Cox4i2	blue
Bcl2l1	brown
Tpx2	yellow
Mylk2	cyan
Foxs1	green
Gm14199	grey60
Hck	grey60
Tspyl3	blue
2500004C02Rik	blue
Efcab8	brown
Bpifa1	black
Bpifb1	grey60
Cdk5rap1	blue
Bpifb5	lightgreen
E2f1	tan
Pxmp4	blue
Chmp4b	grey60
9030607L20Rik	grey60
Eif2s2	brown
a	black
Map1lc3a	lightgreen
Trp53inp2	lightgreen
Acss2	lightgreen
Procr	brown
Eif6	brown
Cep250	turquoise
Cpne1	purple
Romo1	blue
Scand1	grey60
Cnbd2	brown
Epb41l1	blue
Myl9	turquoise
Tgif2	grey60
Rab5if	grey60
Soga1	blue
Samhd1	grey60
Rbl1	grey60
Nnat	black
Tgm2	brown
D630003M21Rik	blue
Lbp	brown
Snhg17	brown
Snhg11	blue
Adig	black
Ppp1r16b	lightgreen
Fam83d	cyan
Mafb	brown
LOC115489488	black
Gm52567	blue
Zhx3	turquoise
Chd6	blue
L3mbtl1	grey60
Gtsf1l	grey60
Tox2	brown
Jph2	blue
Oser1	grey60
2900093K20Rik	lightgreen
Serinc3	brown
Ada	cyan
Ccn5	grey60
Pabpc1l	brown
Tomm34	grey60
Wfdc5	cyan
Wfdc12	cyan
Svs2	black
Slpi	cyan
Matn4	lightgreen
Rbpjl	lightgreen
Sdc4	brown
Pigt	red
Wfdc2	blue
Wfdc8	lightgreen
Wfdc16	lightgreen
Wfdc10	lightgreen
Wfdc3	blue
Ube2c	tan
Tnnc2	cyan
Pltp	lightgreen
4930445K14Rik	blue
Mmp9	grey60
Slc12a5	lightgreen
Cd40	grey60
Slc35c2	grey60
Ocstamp	brown
Slc2a10	lightcyan
Eya2	green
Prex1	grey60
Gm50596	grey60
Ddx27	green
Znfx1	grey60
Zfas1	grey60
Kcnb1	blue
Ptgis	green
B4galt5	grey60
Rnf114	grey60
Snai1	red
Gm11476	brown
Tmem189	grey60
Cebpb	grey60
Gm32287	salmon
Gm32600	grey60
Gm32845	blue
Gm33033	green
Gm32928	brown
Ptpn1	grey60
Pard6b	brown
Dpm1	lightgreen
Atp9a	blue
Tshz2	turquoise
Gm34403	grey60
Pfdn4	green
Dok5	green
Aurka	tan
Rtf2	brown
Tfap2c	cyan
Rbm38	grey60
Ctcflos	black
Pck1	blue
Zbp1	grey60
Pmepa1	brown
Rab22a	brown
Stx16	grey60
Nelfcd	lightcyan
Ctsz	grey60
Tubb1	turquoise
Prelid3b	brown
Zfp831	greenyellow
Edn3	lightgreen
Gm14393	blue
Zfp970	black
Gm14403	blue
Sycp2	grey60
Cdh26	blue
Gm35582	black
Cdh4	blue
Taf4	purple
Psma7	brown
Adrm1	brown
Lama5	red
Gm29943	lightgreen
Gata5	black
Slco4a1	brown
Mrgbp	grey60
Ogfr	grey60
Col9a3	grey60
Ythdf1	grey60
Nkain4	blue
Eef1a2	cyan
Ppdpf	blue
Helz2	grey60
Slc2a4rg-ps	lightgreen
Dnajc5	green
Uckl1	purple
Sox18	purple
Rgs19	brown
Pcmtd2	blue
Polr3k	green
Zfhx4	grey60
Pex2	red
Gm16685	grey60
Stmn2	blue
Hey1	lightgreen
Mrps28	purple
Tpd52	grey60
Zbtb10	black
Zfp704	blue
Pag1	lightgreen
Gm33273	green
Fabp5	cyan
Gm9833	tan
Fabp4	black
Fabp12	blue
Slc10a5	lightgreen
Lrrcc1	blue
Car13	grey60
Car3	blue
Car2	blue
A930001A20Rik	blue
Gm9733	grey60
Sirpb1a	brown
Sirpb1b	grey60
Gm5150	grey60
Ythdf3	grey60
Bhlhe22	brown
Cyp7b1	tan
Mtfr1	purple
Pde7a	lightgreen
Trim55	cyan
Cp	brown
Hltf	blue
Gyg	turquoise
Gm31320	blue
Naaladl2	blue
Ect2	tan
Tnfsf10	grey60
Fndc3b	brown
Tmem212	blue
Tnik	turquoise
Eif5a2	black
Egfem1	blue
Mecom	blue
Gm10258	blue
Phc3	lightgreen
Prkci	purple
Skil	grey60
Kcnmb2	blue
Gnb4	grey60
Mrpl47	brown
Usp13	cyan
Ccdc39	turquoise
Fxr1	brown
Sox2	grey60
Exosc9	green
Ccna2	tan
4932438A13Rik	green
Fgf2	green
Spata5	brown
Spry1	blue
Ankrd50	blue
Fat4	blue
Jade1	lightgreen
Sclt1	turquoise
D3Ertd751e	blue
Pcdh10	grey60
Pabpc4l	blue
Pcdh18	blue
Slc7a11	brown
Gm6209	brown
Noct	brown
Naa15	brown
LOC108168868	red
Setd7	blue
5031434O11Rik	blue
Maml3	blue
Lhfp	black
Frem2	blue
Postn	turquoise
Exosc8	tan
Smad9	lightgreen
Ccna1	tan
Dclk1	tan
Nbea	blue
Tm4sf1	purple
Gm26671	blue
Gm46805	blue
Gm32753	grey60
Serp1	brown
Selenot	grey60
Erich6	grey60
Gpr171	grey60
P2ry14	grey60
F630111L10Rik	grey60
Gpr87	cyan
Gm51434	cyan
P2ry13	grey60
P2ry12	brown
Igsf10	blue
Aadacl2fm1	cyan
Rap2b	brown
Arhgef26	black
Mme	blue
Slc33a1	purple
Vmn2r1	green
Ssr3	red
Tiparp	grey60
Gm35039	grey60
Ccnl1	grey60
Veph1	blue
Ptx3	brown
Lxn	turquoise
Il12a	black
Smc4	tan
Trim59	tan
Kpna4	grey60
Ppm1l	blue
Nmd3	red
Sptssb	cyan
Bche	lightgreen
Wdr49	grey60
Pdcd10	grey60
Golim4	turquoise
Rapgef2	grey60
Fnip2	brown
Etfdh	red
Rxfp1	lightgreen
Tmem144	blue
Gask1b	blue
Gria2	blue
Tdo2	tan
Gucy1b1	blue
Gucy1a1	blue
Map9	tan
Rbm46	tan
Lrat	lightgreen
Fgg	grey60
Fga	grey60
Fgb	black
Dchs2	blue
Sfrp2	blue
Tlr2	grey60
Trim2	blue
Gm40078	grey60
Fhdc1	lightgreen
Gm3740	blue
Sh3d19	blue
Rps3a1	turquoise
Cd1d1	salmon
Fcrls	blue
Cd5l	grey60
Fcrl1	greenyellow
Fcrl5	yellow
Gm40085	brown
Etv3	grey60
Lrrc71	turquoise
Insrr	grey60
Sh2d2a	yellow
Hdgf	green
Rrnad1	blue
Isg20l2	red
Crabp2	cyan
Nes	brown
Bcan	lightgreen
Gm19439	lightgreen
Gpatch4	green
Naxe	lightgreen
Iqgap3	tan
Rhbg	salmon
Gm37116	blue
Cct3	brown
Tmem79	cyan
Bglap3	cyan
Bglap2	cyan
Pmf1	tan
Sema4a	grey60
Lmna	green
Rab25	cyan
Khdc4	purple
Msto1	green
Rusc1	grey60
Gba	brown
Thbs3	lightgreen
Muc1	salmon
Dpm3	blue
Efna1	lightgreen
Efna3	cyan
Gm15998	blue
Adam15	brown
Zbtb7b	brown
Cks1b	tan
Pmvk	brown
Kcnn3	blue
Adar	grey60
She	lightgreen
Il6ra	black
1700094D03Rik	blue
Tpm3	green
Slc39a1	brown
Crtc2	purple
Dennd4b	grey60
Npr1	salmon
S100a14	green
S100a4	grey60
S100a6	green
S100a8	grey60
S100a9	grey60
Pglyrp3	cyan
Lor	cyan
Gm35439	cyan
Sprr2j-ps	cyan
Sprr1b	cyan
Sprr3	cyan
Sprr1a	brown
Lce6a	cyan
Lce1a1	cyan
Lce1b	cyan
Lce1a2	cyan
Lce1c	cyan
Lce1d	cyan
Lce1e	cyan
Lce1f	cyan
Lce1g	cyan
Lce1h	cyan
Lce1i	cyan
Lce1j	cyan
Lce1k	cyan
Kprp	cyan
Lce1l	cyan
2310050C09Rik	cyan
Lce3a	cyan
Lce3b	cyan
Lce3c	cyan
Lce3d	cyan
Lce3e	cyan
Lce3f	cyan
Crct1	cyan
Lce1m	cyan
Flg	cyan
Hrnr	cyan
Rptn	cyan
S100a11	brown
S100a10	brown
Them5	cyan
Riiad1	blue
Tuft1	brown
BC021767	brown
Cgn	green
Psmb4	brown
Selenbp1	lightgreen
Rfx5	grey60
B230398E01Rik	grey60
