genotype	sex	age_at_inf	day	outcome	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	age_binary	UID
APOE4	female	15.85714286	13	0	100	97.52475247524752	93.06930693069307	88.11881188118814	90.0990099009901	96.03960396039604	100.4950495049505	100.99009900990099	101.48514851485149	103.96039603960396	103.96039603960396	103.96039603960396	102.47524752475248	102.47524752475248	NA	< 30 weeks	44
APOE4	female	15.85714286	13	0	100	94.78672985781989	92.89099526066352	83.8862559241706	81.99052132701422	87.2037914691943	89.0995260663507	91.94312796208528	95.260663507109	97.6303317535545	98.5781990521327	102.84360189573458	101.42180094786728	98.5781990521327	NA	< 30 weeks	45
APOE4	female	15.85714286	13	0	100	99.52830188679246	94.81132075471699	85.84905660377359	87.73584905660378	94.33962264150944	96.69811320754718	96.69811320754718	97.64150943396226	100.94339622641509	101.88679245283019	100.47169811320755	100.94339622641509	102.35849056603774	NA	< 30 weeks	46
APOE4	female	15.85714286	13	0	100	97.28260869565217	92.3913043478261	83.69565217391305	83.1521739130435	80.97826086956522	83.1521739130435	83.69565217391305	85.86956521739133	91.84782608695652	91.84782608695652	97.82608695652175	94.56521739130434	94.56521739130434	NA	< 30 weeks	47
APOE4	female	15.85714286	13	0	100	100	93.26424870466322	83.419689119171	78.75647668393782	75.12953367875647	76.6839378238342	79.79274611398964	81.34715025906735	84.4559585492228	88.60103626943005	90.67357512953367	91.19170984455958	92.7461139896373	NA	< 30 weeks	48
APOE4	female	15.85714286	13	0	100	95.63106796116504	87.86407766990291	79.61165048543688	75.72815533980581	78.15533980582524	78.64077669902912	80.09708737864078	84.9514563106796	85.92233009708737	88.83495145631068	93.6893203883495	88.83495145631068	91.74757281553396	NA	< 30 weeks	49
APOE4	female	15.85714286	13	0	100	101.61290322580643	91.39784946236558	83.87096774193547	80.64516129032258	81.18279569892472	81.18279569892472	80.10752688172043	82.25806451612902	84.40860215053763	87.09677419354837	91.39784946236558	91.93548387096774	95.16129032258064	NA	< 30 weeks	50
APOE4	female	15.85714286	13	0	100	99	91.5	84.5	78.49999999999999	76	77.5	79	83.5	84.5	85.50000000000001	89.49999999999999	86.5	86.99999999999999	NA	< 30 weeks	51
APOE2	male	23.28571429	13	0	100	93.687707641196	94.01993355481727	85.71428571428571	80.73089700996677	81.72757475083057	84.71760797342192	86.37873754152824	89.70099667774086	91.36212624584718	91.02990033222589	91.36212624584718	89.36877076411959	91.02990033222589	NA	< 30 weeks	52
APOE2	male	23.28571429	6	1	100	96.90402476780187	94.73684210526318	88.85448916408669	83.90092879256967	79.56656346749227	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	53
